date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:29:53	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Dec%202021%2006:29:53%20GMT	https://tokenoid.io/robots.txt		(from )
07:29:53	28173/28173	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Dec%202021%2006:29:54%20GMT	https://tokenoid.io/	C:/My%20Web%20Sites/tokenoid/tokenoid.io/index.html	(from )
07:29:54	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Dec%202021%2006:29:54%20GMT	https://tokenoid.io/preview.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/preview.png	(from https://tokenoid.io/)
07:29:54	777/777	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Oct%202021%2005:24:21%20GMT	https://tokenoid.io/assets/images/favicon.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/favicon.png	(from https://tokenoid.io/)
07:29:55	70434/70434	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Feb%202019%2007:06:16%20GMT	https://tokenoid.io/assets/css/animate.min.css	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/css/animate.min.css	(from https://tokenoid.io/)
07:29:55	31000/31000	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Dec%202018%2010:58:02%20GMT	https://tokenoid.io/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/css/font-awesome.min.css	(from https://tokenoid.io/)
07:29:56	2844/2844	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Aug%202018%2005:59:02%20GMT	https://tokenoid.io/assets/css/odometer.min.css	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/css/odometer.min.css	(from https://tokenoid.io/)
07:29:56	14125/14125	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Aug%202018%2009:40:16%20GMT	https://tokenoid.io/assets/css/fancybox.min.css	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/css/fancybox.min.css	(from https://tokenoid.io/)
07:29:57	18993/18993	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Oct%202017%2019:53:58%20GMT	https://tokenoid.io/assets/css/swiper.min.css	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/css/swiper.min.css	(from https://tokenoid.io/)
07:29:57	155758/155758	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Feb%202019%2005:02:38%20GMT	https://tokenoid.io/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/css/bootstrap.min.css	(from https://tokenoid.io/)
07:29:57	55842/55842	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Oct%202021%2010:44:14%20GMT	https://tokenoid.io/assets/css/style.css	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/css/style.css	(from https://tokenoid.io/)
07:29:59	9178/9178	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Oct%202021%2005:24:21%20GMT	https://tokenoid.io/assets/images/logo_dark.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/logo_dark.png	(from https://tokenoid.io/)
07:29:59	106193/106193	---M--	200	added ('OK')	image/gif	date:Wed,%2027%20Oct%202021%2005:24:23%20GMT	https://tokenoid.io/assets/images/preloader.gif	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/preloader.gif	(from https://tokenoid.io/)
07:29:59	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2016%20Dec%202021%2006:30:00%20GMT	https://tokenoid.io/link/pancakeswap.php	C:/My%20Web%20Sites/tokenoid/tokenoid.io/link/pancakeswap.php	(from https://tokenoid.io/)
07:30:00	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Dec%202021%2006:30:01%20GMT	https://tokenoid.io/assets/images/featured01.jpg	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/featured01.jpg	(from https://tokenoid.io/)
07:30:01	12689/12689	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Oct%202021%2005:24:21%20GMT	https://tokenoid.io/assets/images/chart.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/chart.png	(from https://tokenoid.io/)
07:30:03	74610/74610	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Oct%202021%2005:24:23%20GMT	https://tokenoid.io/assets/images/nland.jpg	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/nland.jpg	(from https://tokenoid.io/)
07:30:05	86071/86071	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Oct%202021%2005:24:23%20GMT	https://tokenoid.io/assets/images/nbattle.jpg	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/nbattle.jpg	(from https://tokenoid.io/)
07:30:05	83677/83677	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Oct%202021%2005:24:23%20GMT	https://tokenoid.io/assets/images/ncastle.jpg	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/ncastle.jpg	(from https://tokenoid.io/)
07:30:06	5727/5727	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Oct%202021%2005:24:21%20GMT	https://tokenoid.io/assets/images/bscscan.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/bscscan.png	(from https://tokenoid.io/)
07:30:07	6252/6252	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Oct%202021%2005:24:23%20GMT	https://tokenoid.io/assets/images/pancakeswap.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/pancakeswap.png	(from https://tokenoid.io/)
07:30:07	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2016%20Dec%202021%2006:30:08%20GMT	https://tokenoid.io/link/pancakeswap.php	C:/My%20Web%20Sites/tokenoid/tokenoid.io/link/pancakeswap.php	(from https://tokenoid.io/)
07:30:08	9609/9609	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Oct%202021%2005:24:21%20GMT	https://tokenoid.io/assets/images/cg.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/cg.png	(from https://tokenoid.io/)
07:30:08	4792/4792	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Oct%202021%2005:24:21%20GMT	https://tokenoid.io/assets/images/cmc.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/cmc.png	(from https://tokenoid.io/)
07:30:09	3072/3072	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Oct%202021%2005:24:21%20GMT	https://tokenoid.io/assets/images/certik.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/certik.png	(from https://tokenoid.io/)
07:30:09	7659/7659	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Oct%202021%2005:24:24%20GMT	https://tokenoid.io/assets/images/techrate.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/techrate.png	(from https://tokenoid.io/)
07:30:10	4005/4005	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Oct%202021%2005:24:21%20GMT	https://tokenoid.io/assets/images/hotbit.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/hotbit.png	(from https://tokenoid.io/)
07:30:10	4160/4160	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Oct%202021%2005:24:21%20GMT	https://tokenoid.io/assets/images/lbank.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/lbank.png	(from https://tokenoid.io/)
07:30:11	24799/24799	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Oct%202021%2005:24:23%20GMT	https://tokenoid.io/assets/images/logo_text_dark.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/logo_text_dark.png	(from https://tokenoid.io/)
07:30:11	3834/3834	---M--	200	added ('OK')	audio/mpeg	date:Thu,%2021%20Feb%202019%2008:56:38%20GMT	https://tokenoid.io/assets/audio/link.mp3	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/audio/link.mp3	(from https://tokenoid.io/)
07:30:11	97162/97162	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Aug%202018%2005:59:04%20GMT	https://tokenoid.io/assets/js/jquery.min.js	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/js/jquery.min.js	(from https://tokenoid.io/)
07:30:12	56292/56292	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Feb%202019%2005:02:38%20GMT	https://tokenoid.io/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/js/bootstrap.min.js	(from https://tokenoid.io/)
07:30:12	111714/111714	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2003:35:52%20GMT	https://tokenoid.io/assets/js/swiper.min.js	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/js/swiper.min.js	(from https://tokenoid.io/)
07:30:13	11790/11790	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202017%2021:15:48%20GMT	https://tokenoid.io/assets/js/tilt.jquery.js	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/js/tilt.jquery.js	(from https://tokenoid.io/)
